,Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
0,Jeff Bezos,177.0,United States,Amazon,1,57.0,"Seattle, Washington",United States,In Relationship,4.0,"Bachelor of Arts/Science, Princeton University",True,NA,US,0,0,0,1,0,0,1,0
1,Elon Musk,151.0,United States,"Tesla, SpaceX",2,49.0,"Austin, Texas",United States,In Relationship,7.0,"Bachelor of Arts/Science, University of Pennsylvania",True,NA,US,0,0,0,1,0,0,1,0
2,Bernard Arnault & family,150.0,France,LVMH,3,72.0,"Paris, France",France,Married,5.0,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",False,EU,FR,0,0,1,0,0,0,0,0
3,Bill Gates,124.0,United States,Microsoft,4,65.0,"Medina, Washington",United States,Divorced,3.0,"Drop Out, Harvard University",True,NA,US,0,0,0,1,0,0,1,0
4,Mark Zuckerberg,97.0,United States,Facebook,5,36.0,"Palo Alto, California",United States,Married,2.0,"Drop Out, Harvard University",True,NA,US,0,0,0,1,0,0,1,0
5,Warren Buffett,96.0,United States,Berkshire Hathaway,6,90.0,"Omaha, Nebraska",United States,"Widowed, Remarried",3.0,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln",True,NA,US,0,0,0,1,0,0,1,0
6,Larry Ellison,93.0,United States,software,7,76.0,"Lanai, Hawaii",United States,In Relationship,4.0,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",True,NA,US,0,0,0,1,0,0,1,0
7,Larry Page,91.5,United States,Google,8,48.0,"Palo Alto, California",United States,Married,1.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",True,NA,US,0,0,0,1,0,0,1,0
8,Sergey Brin,89.0,United States,Google,9,47.0,"Los Altos, California",United States,Married,3.0,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",True,NA,US,0,0,0,1,0,0,1,0
9,Mukesh Ambani,84.5,India,diversified,10,64.0,"Mumbai, India",India,Married,3.0,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",False,AS,IN,0,1,0,0,0,0,0,0
10,Amancio Ortega,77.0,Spain,Zara,11,85.0,"La Coruna, Spain",Spain,Married,3.0,,True,EU,ES,0,0,1,0,0,0,0,0
11,Francoise Bettencourt Meyers & family,73.6,France,L'Oréal,12,67.0,"Paris, France",France,Married,2.0,,False,EU,FR,0,0,1,0,0,0,0,0
12,Zhong Shanshan,68.9,China,"beverages, pharmaceuticals",13,66.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
13,Steve Ballmer,68.7,United States,Microsoft,14,65.0,"Hunts Point, Washington",United States,Married,3.0,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",True,NA,US,0,0,0,1,0,0,1,0
14,Ma Huateng,65.8,China,internet media,15,49.0,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University",True,AS,CN,0,1,0,0,0,0,0,1
15,Carlos Slim Helu & family,62.8,Mexico,telecom,16,81.0,"Mexico City, Mexico",Mexico,Widowed,6.0,"Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico",True,NA,MX,0,0,0,1,0,0,0,0
16,Alice Walton,61.8,United States,Walmart,17,71.0,"Fort Worth, Texas",United States,Divorced,,"Bachelor of Arts/Science, Trinity University",False,NA,US,0,0,0,1,0,0,1,0
17,Jim Walton,60.2,United States,Walmart,18,72.0,"Bentonville, Arkansas",United States,Married,4.0,"Bachelor of Arts/Science, University of Arkansas",False,NA,US,0,0,0,1,0,0,1,0
18,Rob Walton,59.5,United States,Walmart,19,76.0,"Bentonville, Arkansas",United States,Married,3.0,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",False,NA,US,0,0,0,1,0,0,1,0
19,Michael Bloomberg,59.0,United States,Bloomberg LP,20,79.0,"New York, New York",United States,In Relationship,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",True,NA,US,0,0,0,1,0,0,1,0
20,Colin Zheng Huang,55.3,China,e-commerce,21,41.0,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",True,AS,CN,0,1,0,0,0,0,0,1
21,MacKenzie Scott,53.0,United States,Amazon,22,51.0,"Seattle, Washington",United States,Married,4.0,"Bachelor of Arts/Science, Princeton University",False,NA,US,0,0,0,1,0,0,1,0
22,Daniel Gilbert,51.9,United States,Quicken Loans,23,59.0,"Franklin, Michigan",United States,Married,5.0,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",True,NA,US,0,0,0,1,0,0,1,0
23,Gautam Adani & family,50.5,India,"infrastructure, commodities",24,58.0,"Ahmedabad, India",India,Married,2.0,,True,AS,IN,0,1,0,0,0,0,0,0
24,Phil Knight & family,49.9,United States,Nike,25,83.0,"Hillsboro, Oregon",United States,Married,3.0,"Master of Business Administration, Stanford Graduate School of Business; Bachelor of Arts/Science, University of Oregon",True,NA,US,0,0,0,1,0,0,1,0
25,Jack Ma,48.4,China,e-commerce,26,56.0,"Hangzhou, China",China,Married,,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",True,AS,CN,0,1,0,0,0,0,0,1
26,Charles Koch,46.4,United States,Koch Industries,27,85.0,"Wichita, Kansas",United States,Married,2.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Master of Science, Massachusetts Institute of Technology",False,NA,US,0,0,0,1,0,0,1,0
27,Julia Koch & family,46.4,United States,Koch Industries,27,59.0,"New York, New York",United States,Widowed,3.0,,False,NA,US,0,0,0,1,0,0,1,0
28,Masayoshi Son,45.4,Japan,"internet, telecom",29,63.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, University of California, Berkeley",True,AS,JP,0,1,0,0,0,0,0,0
29,Michael Dell,45.1,United States,Dell computers,30,56.0,"Austin, Texas",United States,Married,4.0,"Drop Out, The University of Texas at Austin",True,NA,US,0,0,0,1,0,0,1,0
30,Tadashi Yanai & family,44.1,Japan,fashion retail,31,72.0,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, Waseda University",True,AS,JP,0,1,0,0,0,0,0,0
31,François Pinault & family,42.3,France,luxury goods,32,84.0,"Paris, France",France,Married,3.0,"Drop Out, High School",True,EU,FR,0,0,1,0,0,0,0,0
32,David Thomson & family,41.8,Canada,media,33,63.0,"Toronto, Canada",Canada,Divorced,4.0,"Master of Arts, University of Cambridge",False,NA,CA,0,0,0,1,0,0,0,0
33,Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,False,EU,DE,0,0,1,0,0,0,0,0
34,Wang Wei,39.0,China,package delivery,35,50.0,"Shenzhen, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
35,Miriam Adelson,38.2,United States,casinos,36,75.0,"Las Vegas, Nevada",United States,Widowed,5.0,"Bachelor of Science, Hebrew University Jerusalem",False,NA,US,0,0,0,1,0,0,1,0
36,He Xiangjian,37.7,China,home appliances,37,78.0,"Foshan, China",China,Married,3.0,,True,AS,CN,0,1,0,0,0,0,0,1
37,Dieter Schwarz,36.9,Germany,retail,38,81.0,"Neckarsulm, Germany",Germany,Married,2.0,,False,EU,DE,0,0,1,0,0,0,0,0
38,Zhang Yiming,35.6,China,TikTok,39,37.0,"Beijing, China",China,,,"Bachelor of Engineering, Nankai University",True,AS,CN,0,1,0,0,0,0,0,1
39,Giovanni Ferrero,35.1,Italy,"Nutella, chocolates",40,56.0,"Brussels, Belgium",Italy,Married,2.0,,False,EU,IT,0,0,1,0,0,0,0,0
40,Alain Wertheimer,34.5,France,Chanel,41,72.0,"New York, New York",France,Married,3.0,,False,EU,FR,0,0,1,0,0,0,0,0
